2024-11-07 02:52:18.371: {"Reset":"Board was reset.  '?R' returns details"}
2024-11-07 02:52:18.381: 
2024-11-07 02:52:18.391: {"USB":"USB Interface Active"}
2024-11-07 02:52:18.401: 
2024-11-07 02:52:29.177: 2161.4,0.2,296.3,5.8,275.4,15.4,229.5,14.0,225.2,2.0,221.9,3.6,221.8,16.5,206.9,1.8,184.0,4.2
2024-11-07 02:52:29.253: 2155.7,0.2,286.3,5.8,278.8,15.4,234.8,1.8,231.4,16.5,226.4,14.1,224.3,2.0,217.5,3.6,181.9,4.2
2024-11-07 02:52:29.329: 2160.2,0.2,302.6,5.8,274.9,15.4,232.4,2.0,227.0,1.8,226.2,16.5,224.3,14.1,207.3,3.6,176.0,4.5
2024-11-07 02:52:29.405: 2150.5,0.2,310.5,5.8,286.3,15.4,254.3,2.0,241.0,14.1,223.7,1.8,215.4,3.6,213.9,16.5,189.0,4.5
2024-11-07 02:52:29.481: 2189.4,0.2,288.2,15.4,278.3,5.7,260.3,2.0,252.0,14.0,237.0,1.7,211.6,4.5,202.9,3.6,193.1,16.4
2024-11-07 02:52:29.557: 2135.5,0.2,260.3,2.0,245.7,15.2,242.3,5.7,224.9,4.4,224.5,13.9,216.8,1.7,189.9,3.5,168.6,2.6
2024-11-07 02:52:29.633: 2157.7,0.2,278.2,5.8,256.0,15.3,254.0,2.0,232.9,14.0,215.7,4.5,209.1,1.7,184.6,3.5,175.4,18.3
2024-11-07 02:52:29.709: 2122.5,0.2,300.0,5.8,265.0,15.1,244.1,2.0,230.4,13.9,218.2,4.4,182.4,3.5,172.3,18.1,170.7,16.3
2024-11-07 02:52:29.785: 2092.6,0.2,292.1,5.8,275.7,15.1,258.7,13.8,240.9,2.0,199.1,4.4,183.7,3.5,180.0,16.2,178.0,18.0
2024-11-07 02:52:29.860: 2074.3,0.2,312.3,5.8,279.5,15.1,271.7,13.8,192.8,2.0,179.2,18.0,175.9,16.2,172.0,4.5
2024-11-07 02:52:29.936: 2057.7,0.2,301.2,5.8,295.6,15.1,264.7,13.8,205.3,16.2,173.2,17.3,171.7,18.0,159.9,19.2,150.0,4.5
2024-11-07 02:52:30.011: 2052.2,0.2,302.3,15.1,279.1,5.8,250.6,13.7,232.7,16.2,172.3,18.0,166.2,17.3,159.9,19.2
2024-11-07 02:52:30.087: 2081.6,0.2,311.0,15.1,308.8,5.7,255.6,16.2,247.4,13.7,183.5,17.3,170.3,18.1,158.9,19.2,154.5,3.8
2024-11-07 02:52:30.163: 2087.5,0.2,302.9,15.1,286.0,5.8,273.7,16.2,239.6,13.7,197.5,17.3,165.4,18.1,162.1,3.8,162.1,19.3
2024-11-07 02:52:30.239: 2092.7,0.2,330.0,5.8,302.7,15.1,272.5,16.2,246.7,13.7,198.5,17.3,172.8,3.8,161.9,18.1,154.3,19.3
2024-11-07 02:52:30.315: 2099.3,0.2,301.4,15.1,285.2,5.8,272.9,16.2,252.0,13.7,191.9,17.3,175.2,3.8,157.1,18.1,156.8,18.6
2024-11-07 02:52:30.391: 2106.7,0.2,310.8,5.8,298.6,15.1,278.1,16.2,243.2,13.8,192.8,17.3,191.1,3.8,154.2,18.6,153.9,19.3
2024-11-07 02:52:30.467: 2108.8,0.2,294.3,15.1,266.6,16.2,241.1,13.8,239.3,5.8,193.9,3.8,189.3,17.3,171.7,3.5,161.3,2.6
2024-11-07 02:52:30.543: 2112.3,0.2,296.3,15.1,273.0,16.2,264.3,5.8,240.9,13.8,202.9,3.4,197.8,2.6,188.5,17.3,188.0,2.0
2024-11-07 02:52:30.619: 2114.3,0.2,298.2,15.1,267.0,16.2,258.7,5.7,256.6,13.8,236.0,2.9,226.4,2.6,206.2,2.0,195.3,3.3
2024-11-07 02:52:30.695: 2097.1,0.2,298.2,15.1,287.3,5.8,273.8,16.2,264.9,2.9,251.7,13.8,249.2,2.0,201.3,2.6,194.2,17.3
2024-11-07 02:52:30.771: 2091.3,0.2,296.9,5.8,287.7,15.0,283.4,2.9,271.8,2.0,265.7,16.2,255.3,13.8,197.5,18.1,185.0,17.3
2024-11-07 02:52:30.
